city_name,citycode,nom_insee,lat_insee,lon_insee,code_dept,code_region,population_insee,surface_km2,densite_pop_km2,revenu_median_uc,taux_sans_voiture,voitures_par_menage,part_65plus,distance_dom_trav_med_km,nb_gares,nb_trajets_total,nb_trajets_moy_arret,nb_trajets_max_arret,nb_lignes_total,premier_depart_matin,dernier_depart_ville,amplitude_moy_h,amplitude_max_h,amplitude_min_h,service_weekend,service_7j_sur_7,dist_gare_min_m,has_gare,accessibilite_ord,dernier_depart_apres_minuit
Kermaria-Sulard,22090,Kermaria-Sulard,48.7753,-3.3748,22,53,1112.0,9.264800000000001,120.02417753216474,22960.0,0.021112418191603387,1.5413413229599076,0.2512450125392224,7.709939860301911,0,0,0.0,0,0,,,,,,False,False,8211.285885304429,False,0,0
Lamballe-Armor,22093,Lamballe-Armor,48.4859,-2.5201,22,53,17241.0,131.9817,130.63174667397072,23510.0,0.11031217494008294,1.2873634820886628,0.24985754639780855,5.643374818641342,2,1986,662.0,1048,12,05:38:00,22:17:00,12.96,16.65,5.58,True,True,2294.3455102623193,True,3,0
Lancieux,22094,Lancieux,48.6034,-2.1479,22,53,1611.0,6.551799999999999,245.88662657590282,27430.0,0.060089118455616625,1.4370435965172912,0.3576612638092928,7.047390060363884,0,0,0.0,0,0,,,,,,False,False,10868.362774079873,False,0,0
Landéhen,22098,Landéhen,48.4188,-2.5441,22,53,1444.0,12.0557,119.77736672279502,23370.0,0.04008781322244944,1.5519411416810318,0.14943416221107336,7.668248355536634,0,0,0.0,0,0,,,,,,False,False,5777.718199519847,False,0,0
Lanfains,22099,Lanfains,48.3699,-2.912,22,53,1077.0,22.353099999999998,48.18123660700306,21930.0,0.04200930939482435,1.5548616724149842,0.14621452819151118,9.24120888980328,0,0,0.0,0,0,,,,,,False,False,15296.213683037446,False,0,0
Langoat,22101,Langoat,48.7325,-3.3001,22,53,1175.0,18.7031,62.82380995663821,22110.0,0.05777058508022555,1.448543870444412,0.1760761141426504,9.985909335824704,0,0,0.0,0,0,,,,,,False,False,10379.66345794298,False,0,0
Languenan,22105,Languenan,48.5127,-2.1344,22,53,1170.0,16.084400000000002,72.74128969684911,21460.0,0.0316443003392504,1.5392933565058537,0.17987039567231466,7.4233829001620775,2,330,165.0,174,3,06:19:00,19:35:00,13.27,13.27,13.27,True,True,1913.992834311217,True,2,0
Langueux,22106,Langueux,48.502,-2.7087,22,53,7939.0,9.2166,861.3805524813923,24170.0,0.06871230002622607,1.3598216627327564,0.24373977601610672,4.311730018713162,0,0,0.0,0,0,,,,,,False,False,4186.839787085027,False,0,0
Bon Repos sur Blavet,22107,Bon Repos sur Blavet,48.2147,-3.1161,22,53,1248.0,55.142399999999995,22.63231197771588,21070.0,0.07816106673359306,1.3428214304001966,0.3567590990844794,6.217280654686086,0,0,0.0,0,0,,,,,,False,False,30702.071423190988,False,0,0
Lannion,22113,Lannion,48.7454,-3.4697,22,53,20315.0,46.8403,433.7077260393294,23220.0,0.15894070293972398,1.1481886993804968,0.24848574652777344,0.0,2,511,170.3,263,8,05:44:00,23:05:00,16.05,17.33,13.48,True,True,2090.3252874547943,True,2,0
Lanrodec,22116,Lanrodec,48.4977,-3.0434,22,53,1387.0,31.9666,43.389037307689904,22630.0,0.059846357359667486,1.4563286431840932,0.13889894690835775,13.887531141229086,0,0,0.0,0,0,,,,,,False,False,6420.400782642457,False,0,0
