row_id,city_name,lat_insee,lon_insee,cluster,cluster_nom,niveau_fragilite,has_gare,accessibilite_ord,dist_gare_min_m,nb_trajets_total,nb_lignes_total,amplitude_moy_h,revenu_median_uc,voitures_par_menage,taux_sans_voiture,part_65plus,distance_dom_trav_med_km,population,densite_pop_km2
2015,Bézu-Saint-Éloi,49.3028,1.6849,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,7493.2815297771,0.0,0.0,,24130.0,1.4704858760703652,0.0604860785899684,0.1519606853320575,27.431542313262955,1626.0,142.10926506961255
2148,Bû,48.8041,1.4888,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4365.772642408085,0.0,0.0,,26320.0,1.4875822738328035,0.0496324356719662,0.1662357987722207,22.651558457871896,2077.0,90.16635410154892
6897,Bœrsch,48.4662,7.3721,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,6843.693332687522,0.0,0.0,,27660.0,1.4796843228123242,0.0520588737503481,0.2258526837571655,12.511969220129512,2459.0,103.77322659194206
1202,Cabariot,45.9318,-0.8492,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3972.634389924589,0.0,0.0,,22500.0,1.502305144707921,0.0573546487355602,0.2194695872472075,9.808232167559764,1481.0,97.15234090566186
407,Cabris,43.6602,6.8782,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3884.681142836035,0.0,0.0,,26480.0,1.4333974177707542,0.0708527182277926,0.3018266992788079,4.753248919350328,1450.0,267.05958191362
8951,Cabrières-d'Avignon,43.9034,5.1494,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,8301.690881683015,0.0,0.0,,25990.0,1.475322611402251,0.0344868293379392,0.2845001339137926,7.464658305289597,1686.0,115.77523398820274
8953,Caderousse,44.1155,4.746,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,6351.0266099912305,0.0,0.0,,23430.0,1.434716284879069,0.0704396727819781,0.2616075172630271,4.716328988691316,2493.0,76.84364645141403
2859,Cadillac-en-Fronsadais,44.9612,-0.3732,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5422.8937011649905,0.0,0.0,,24450.0,1.5298137617384486,0.036008333777021,0.1797920224379925,14.878189906310606,1336.0,352.7765308547438
8698,Cagnac-les-Mines,43.981,2.1177,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5124.152387582567,0.0,0.0,,21390.0,1.3889892833525193,0.0763896606284746,0.2365071185751009,5.899063117116502,2621.0,105.63053895352822
969,Cagny,49.1532,-0.2622,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,1345.6560137877923,0.0,0.0,,21620.0,1.4080604534005037,0.061712846347607,0.1971084337349397,7.628717648298051,2066.0,242.7732079905993
